https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1637107200000,2021-11-17 00:00:00,BTC/USDT,60058.87000000,60215.55000000,59777.00000000,60199.98000000,464.45894000,27849542.15950740,14899
1637103600000,2021-11-16 23:00:00,BTC/USDT,60568.38000000,60673.99000000,60000.00000000,60058.87000000,1065.41727000,64295708.40489770,40400
1637100000000,2021-11-16 22:00:00,BTC/USDT,60453.50000000,61199.65000000,60369.15000000,60569.46000000,1166.17851000,70820855.41565090,57855
1637096400000,2021-11-16 21:00:00,BTC/USDT,59720.76000000,60914.81000000,59645.28000000,60453.49000000,2281.36693000,137899496.73783890,74165
1637092800000,2021-11-16 20:00:00,BTC/USDT,60204.47000000,60292.69000000,59105.26000000,59719.92000000,2721.92255000,162267200.24092270,93274
1637089200000,2021-11-16 19:00:00,BTC/USDT,59900.01000000,60612.19000000,59728.27000000,60204.47000000,1857.01542000,111688186.51300330,67161
1637085600000,2021-11-16 18:00:00,BTC/USDT,60460.00000000,60637.00000000,59810.00000000,59900.01000000,1542.50059000,92972996.47143770,62956
1637082000000,2021-11-16 17:00:00,BTC/USDT,60647.89000000,60784.30000000,60160.01000000,60460.00000000,1421.27444000,85988230.71173710,52008
1637078400000,2021-11-16 16:00:00,BTC/USDT,60669.15000000,60923.18000000,60350.01000000,60647.89000000,1742.61945000,105669657.50223230,59444
1637074800000,2021-11-16 15:00:00,BTC/USDT,60902.33000000,61087.29000000,60568.95000000,60669.14000000,1657.60044000,100856965.49052860,64097
1637071200000,2021-11-16 14:00:00,BTC/USDT,60534.44000000,61427.00000000,60452.09000000,60903.26000000,3197.58926000,194739484.56607730,104142
1637067600000,2021-11-16 13:00:00,BTC/USDT,60038.94000000,60776.04000000,60031.95000000,60534.45000000,1994.34783000,120545033.84762950,73462
1637064000000,2021-11-16 12:00:00,BTC/USDT,60576.76000000,60883.05000000,60020.00000000,60038.95000000,2921.50849000,176808617.21663800,100158
1637060400000,2021-11-16 11:00:00,BTC/USDT,60160.00000000,60656.95000000,60011.00000000,60574.49000000,3348.41779000,202155346.85312620,101827
1637056800000,2021-11-16 10:00:00,BTC/USDT,60200.00000000,60288.19000000,58574.07000000,60160.00000000,11141.19679000,662472931.88932648,320139
1637053200000,2021-11-16 09:00:00,BTC/USDT,61000.63000000,61470.41000000,60200.00000000,60200.00000000,4402.28156000,266459467.14956560,101503
1637049600000,2021-11-16 08:00:00,BTC/USDT,60804.07000000,61062.76000000,60573.51000000,61000.63000000,2092.30543000,127304569.83439300,65129
1637046000000,2021-11-16 07:00:00,BTC/USDT,60830.43000000,61054.40000000,60414.08000000,60805.27000000,2262.33608000,137339976.58277110,64288
1637042400000,2021-11-16 06:00:00,BTC/USDT,60927.50000000,60997.98000000,60293.06000000,60830.44000000,2938.99684000,178390480.03331620,85451
1637038800000,2021-11-16 05:00:00,BTC/USDT,61205.75000000,61523.55000000,60742.92000000,60927.51000000,3537.29426000,215964964.35682240,78740
1637035200000,2021-11-16 04:00:00,BTC/USDT,60907.40000000,61600.00000000,60322.20000000,61211.43000000,4081.02324000,248766139.61379690,110804
1637031600000,2021-11-16 03:00:00,BTC/USDT,61620.62000000,61806.95000000,60422.20000000,60907.41000000,5486.38687000,334978607.22146630,147334
1637028000000,2021-11-16 02:00:00,BTC/USDT,62110.09000000,62206.80000000,61500.00000000,61620.62000000,2064.41123000,127848354.57727250,66164
1637024400000,2021-11-16 01:00:00,BTC/USDT,62540.02000000,62636.16000000,60980.00000000,62110.10000000,7766.01382000,479981161.42541350,215222
1637020800000,2021-11-16 00:00:00,BTC/USDT,63606.73000000,63617.31000000,62462.91000000,62540.03000000,4765.15100000,299529608.64378320,147958
1637017200000,2021-11-15 23:00:00,BTC/USDT,63989.24000000,63998.69000000,63500.00000000,63606.74000000,893.22240000,56950530.06514380,32759
1637013600000,2021-11-15 22:00:00,BTC/USDT,63880.41000000,64025.48000000,63411.38000000,63989.25000000,1133.77844000,72237121.80492770,43913
1637010000000,2021-11-15 21:00:00,BTC/USDT,63903.43000000,64012.29000000,63400.00000000,63878.30000000,1504.12178000,95926409.87226460,55149
1637006400000,2021-11-15 20:00:00,BTC/USDT,64265.91000000,64265.91000000,63766.89000000,63903.43000000,1274.25829000,81510308.23580020,44297
1637002800000,2021-11-15 19:00:00,BTC/USDT,63812.79000000,64320.33000000,63650.54000000,64265.90000000,1389.79013000,88991105.77301820,49294
1636999200000,2021-11-15 18:00:00,BTC/USDT,64037.00000000,64182.25000000,63624.54000000,63812.79000000,1618.35413000,103426778.90276810,57164
1636995600000,2021-11-15 17:00:00,BTC/USDT,64273.15000000,64444.61000000,64006.34000000,64036.99000000,1550.72297000,99596502.35644410,45207
1636992000000,2021-11-15 16:00:00,BTC/USDT,64288.16000000,64444.18000000,63900.00000000,64275.70000000,2423.38125000,155519591.99617600,91363
1636988400000,2021-11-15 15:00:00,BTC/USDT,64851.00000000,64899.40000000,63993.17000000,64288.16000000,3983.29447000,257112137.65738040,116533
1636984800000,2021-11-15 14:00:00,BTC/USDT,65489.09000000,65493.20000000,64770.00000000,64851.00000000,2074.83406000,135099203.97817500,73923
1636981200000,2021-11-15 13:00:00,BTC/USDT,65663.19000000,65760.00000000,65349.00000000,65489.09000000,2098.28965000,137650932.99071460,53943
1636977600000,2021-11-15 12:00:00,BTC/USDT,65734.45000000,65946.63000000,65537.99000000,65663.19000000,1525.18476000,100245195.97294280,55921
1636974000000,2021-11-15 11:00:00,BTC/USDT,65920.00000000,65948.83000000,65624.15000000,65733.06000000,935.58190000,61536148.54607760,35481
